cve,repo,commit
CVE-2012-1226,dolibarr,5381986e50dd6055f2b3b63281eaacffa0449da2
CVE-2017-17898,dolibarr,6a62e139604dbbd5729e57df2433b37a5950c35c
CVE-2017-17898,dolibarr,4a5988accbb770b74105baacd5a034689272128c
CVE-2018-19995,dolibarr,bacd5110fbdc81a35030fdc322775fa15ea85924
CVE-2018-19995,dolibarr,4b8be6ed64763327018ac1c076f81ddffa87855e
CVE-2018-19998,dolibarr,bacd5110fbdc81a35030fdc322775fa15ea85924
CVE-2018-19998,dolibarr,2b088a73c121a52e006c0d76ea4da7ffeb7b4f4a
CVE-2022-39280,dparse,8c990170bbd6c0cf212f1151e9025486556062d5
CVE-2022-39280,dparse,d87364f9db9ab916451b1b036cfeb039e726e614
CVE-2022-24884,ecdsautils,1d4b091abdf15ad7b2312535b5b95ad70f6dbd08
CVE-2022-24884,ecdsautils,39b6d0a77414fd41614953a0e185c4eefa2f88ad
CVE-2021-43785,emoji-button,05970c09180cd27fff493e998ac5bf0468b1bb16
CVE-2021-43785,emoji-button,fe54bef107eb3f74873a4018f2ff49fa124c6a2e
CVE-2020-35581,envira-gallery-lite,102651514e6faca914ec1c7e113def340d8e1e09
CVE-2020-35581,envira-gallery-lite,3b081dd10a1731f8cd981bebeac0e775fb217acf
CVE-2020-35582,envira-gallery-lite,102651514e6faca914ec1c7e113def340d8e1e09
CVE-2020-35582,envira-gallery-lite,3b081dd10a1731f8cd981bebeac0e775fb217acf
CVE-2021-27815,exif,eb84b0e3c5f2a86013b6fcfb800d187896a648fa
CVE-2021-27815,exif,f6334d9d32437ef13dc902f0a88a2be0063d9d1c
CVE-2016-9134,exponent-cms,45a7a62797e64e8abbae35d4859097c26f1874b1
CVE-2016-9134,exponent-cms,d5c3c175b60bd26b2b74ec85b8f0d2544db2c8db
CVE-2021-32749,fail2ban,410a6ce5c80dd981c22752da034f2529b5eee844
CVE-2021-32749,fail2ban,2ed414ed09b3bb4c478abc9366a1ff22024a33c9
CVE-2020-12607,fastecdsa,4a16daeaf139be20654ef58a9fe4c79dc030458c
CVE-2020-12607,fastecdsa,7b64e3efaa806b4daaf73bb5172af3581812f8de
CVE-2020-12607,fastecdsa,e592f106edd5acf6dacedfab2ad16fe6c735c9d1
CVE-2022-21221,fasthttp,15262ecf3c602364639d465daba1e7f3604d00e8
CVE-2022-21221,fasthttp,6b5bc7bb304975147b4af68df54ac214ed2554c1
CVE-2013-7225,fat_free_crm,d4b2de81a4d8c1b201482edcb2488ed9280a65fd
CVE-2013-7225,fat_free_crm,078035f1ef73ed85285ac9d128c3c5f670cef066
